,CLASS_MODELO_1,CLASS_MODELO_2,CLASS_MODELO_3,CLASS_MODELO_4,CLASS_MODELO_5,CLASS_MODELO_6,CLASS_MODELO_7
0,p,e,e,p,p,e,e
1,e,e,e,e,e,e,e
2,p,p,p,p,p,p,p
3,e,e,e,e,e,e,e
4,p,p,p,p,p,p,p
5,p,p,p,p,p,p,p
6,p,p,p,p,p,p,p
7,e,e,e,e,e,e,e
8,e,e,e,e,e,e,e
9,e,e,e,e,p,e,e
10,p,p,p,p,p,p,p
11,p,p,p,p,p,p,p
12,p,e,e,e,e,e,e
13,e,e,e,e,e,e,e
14,e,e,e,e,e,e,e
15,e,e,e,e,e,e,e
16,e,e,e,e,e,e,e
17,e,e,e,e,p,e,e
18,e,e,e,e,e,e,e
19,e,e,e,e,e,e,e
20,e,e,e,e,e,e,e
21,p,p,p,p,e,p,p
22,p,p,p,p,p,p,p
23,e,e,e,e,e,e,e
24,p,p,p,p,p,p,p
25,p,p,p,p,p,p,p
26,p,p,p,p,p,p,p
27,e,e,e,e,e,e,e
28,e,e,e,e,e,e,e
29,e,e,e,e,e,e,e
30,p,p,p,p,p,p,p
31,p,p,p,p,p,p,p
32,e,e,e,e,e,e,e
33,e,e,e,e,e,e,e
34,e,e,e,p,e,e,e
35,e,e,e,e,e,e,e
36,p,p,p,p,p,p,p
37,e,e,e,e,e,e,e
38,e,e,e,e,e,e,e
39,e,e,e,e,e,e,e
40,p,e,e,e,e,e,e
41,p,p,p,p,p,p,p
42,p,p,p,p,p,p,p
43,e,e,e,e,e,e,e
44,p,p,p,p,p,p,p
45,e,e,e,e,e,e,e
46,p,p,p,p,p,p,p
47,e,e,e,e,e,e,e
48,e,p,p,p,p,p,p
49,p,e,e,e,e,e,e
50,p,p,p,p,p,p,p
51,e,e,e,e,e,e,e
52,p,p,p,p,p,p,p
53,e,e,e,e,e,e,e
54,p,p,p,p,p,p,p
55,e,e,e,e,e,e,e
56,e,e,e,e,e,e,e
57,p,p,p,p,p,p,p
58,e,e,e,e,e,e,e
59,e,e,e,e,e,e,e
60,p,p,p,p,p,p,p
61,p,p,p,p,p,p,p
62,e,e,e,e,e,e,e
63,p,p,p,p,p,p,p
64,p,p,p,p,p,p,p
65,p,p,p,p,p,p,p
66,e,e,e,e,e,e,e
67,p,p,p,p,p,p,p
68,p,p,p,p,p,p,p
69,p,p,p,p,e,p,p
70,p,p,p,p,p,p,p
71,p,p,p,p,p,p,p
72,p,p,p,p,p,p,p
73,p,p,p,p,p,p,p
74,e,e,e,e,e,e,e
75,p,p,p,p,p,p,p
76,p,p,p,p,p,p,p
77,p,p,p,p,p,p,p
78,p,p,p,p,p,p,p
79,p,p,p,p,p,p,p
80,p,p,p,p,p,p,p
81,p,p,p,p,p,p,p
82,e,e,e,e,e,e,e
83,e,e,e,e,e,e,e
84,e,p,p,p,e,p,p
85,e,e,e,e,e,e,e
86,e,e,e,e,p,e,e
87,p,e,e,e,e,e,e
88,p,p,p,e,p,p,p
89,p,p,p,p,p,p,p
90,e,e,e,e,e,e,e
91,e,e,e,e,e,e,e
92,e,e,e,e,e,e,e
93,p,p,p,p,p,p,p
94,p,p,p,p,p,p,p
95,e,e,e,e,e,e,e
96,p,e,e,e,p,e,e
97,e,e,e,e,e,e,e
98,p,p,p,p,p,p,p
99,p,e,e,e,e,e,e
100,p,p,p,p,p,p,p
101,p,e,e,e,e,e,e
102,e,e,e,e,e,e,e
103,p,p,p,p,p,p,p
104,p,p,p,p,p,p,p
105,p,p,p,p,p,p,p
106,p,e,e,e,e,e,e
107,p,p,p,p,p,p,p
108,p,p,p,p,p,p,p
109,p,p,p,p,e,p,p
110,p,p,p,p,p,p,p
111,p,p,p,p,p,p,p
112,e,e,e,e,e,e,e
113,p,p,p,p,p,p,p
114,e,e,e,e,e,e,e
115,p,p,p,p,p,p,p
116,e,e,e,e,e,e,e
117,p,p,p,p,p,p,p
118,p,p,p,p,p,p,p
119,e,e,e,e,e,e,e
120,p,p,p,p,p,p,p
121,p,p,p,p,p,p,p
122,e,e,e,e,e,e,e
123,p,p,p,p,p,p,p
124,p,p,p,p,p,p,p
125,e,e,e,e,e,e,e
126,p,p,p,p,p,p,p
127,e,e,e,e,e,e,e
128,e,e,e,e,e,e,e
129,e,e,e,e,e,e,e
130,p,p,p,p,p,p,p
131,e,e,e,e,e,e,e
132,p,p,p,p,p,p,p
133,p,p,p,p,e,p,p
134,p,p,p,p,p,p,p
135,e,e,e,e,e,e,e
136,e,e,e,e,e,e,e
137,e,e,e,e,e,e,e
138,p,p,p,p,p,p,p
139,e,e,e,e,e,e,e
140,e,e,e,e,e,e,e
141,e,e,e,e,e,e,e
142,e,e,e,e,e,e,e
143,e,e,e,e,e,e,e
144,e,e,e,e,e,e,e
145,e,e,e,e,e,e,e
146,e,e,e,e,e,e,e
147,p,p,p,p,p,p,p
148,p,p,p,p,p,p,p
149,e,e,e,e,e,e,e
150,e,p,p,p,e,p,p
151,e,e,e,e,e,e,e
152,p,p,p,p,p,p,p
153,e,e,e,e,e,e,e
154,p,p,p,p,p,p,p
155,e,e,e,e,e,e,e
156,p,p,p,p,p,p,p
157,p,p,p,p,p,p,p
158,p,p,p,p,p,p,p
159,e,e,e,e,e,e,e
160,e,e,e,e,e,e,e
161,p,p,p,p,p,p,p
162,e,e,e,e,e,e,e
163,e,e,e,e,e,e,e
164,e,e,e,e,e,e,e
165,p,p,p,p,p,p,p
166,p,e,e,e,e,e,e
167,p,p,p,p,e,p,p
168,p,p,p,p,e,p,p
169,e,e,e,e,e,e,e
170,p,p,p,p,p,p,p
171,e,e,e,e,e,e,e
172,p,p,p,e,e,p,p
173,p,p,p,p,p,p,p
174,e,e,e,e,e,e,e
175,p,p,p,p,p,p,p
176,e,e,e,e,e,e,e
177,e,e,e,e,e,e,e
178,p,p,p,p,p,p,p
179,e,e,e,e,e,e,e
180,p,e,e,e,e,e,e
181,p,p,p,p,p,p,p
182,p,p,p,p,p,p,p
183,p,p,p,p,p,p,p
184,e,e,e,e,e,e,e
185,e,e,e,e,e,e,e
186,p,p,p,p,p,p,p
187,e,e,e,e,e,e,e
188,p,p,p,p,p,p,p
189,p,p,p,p,p,p,p
190,p,p,p,e,e,p,p
191,p,p,p,p,p,p,p
192,p,p,p,p,p,p,p
193,p,p,p,p,p,p,p
194,p,p,p,p,p,p,p
195,e,e,e,e,e,e,e
196,p,p,p,p,p,p,p
197,p,p,p,p,p,p,p
198,p,p,p,p,p,p,p
199,p,p,p,p,p,p,p
200,e,e,e,e,e,e,e
201,e,e,e,e,e,e,e
202,p,p,p,p,p,p,p
203,e,e,e,e,e,e,e
204,e,e,e,e,e,e,e
205,e,e,e,e,e,e,e
206,p,p,p,p,p,p,p
207,e,e,e,e,e,e,e
208,e,e,e,e,p,e,e
209,e,e,e,e,e,e,e
210,e,e,e,e,e,e,e
211,e,e,e,e,e,e,e
212,e,e,e,e,e,e,e
213,e,e,e,e,e,e,e
214,e,e,e,e,e,e,e
215,e,e,e,e,e,e,e
216,e,e,e,e,e,e,e
217,p,p,p,e,e,p,p
218,p,p,p,p,p,p,p
219,e,e,e,e,e,e,e
220,p,p,p,p,p,p,p
221,p,p,p,p,p,p,p
222,p,e,e,e,e,e,e
223,e,p,p,e,p,p,p
224,p,p,p,p,p,p,p
225,e,e,e,e,e,e,e
226,e,e,e,e,e,e,e
227,e,e,e,e,e,e,e
228,e,e,e,e,e,e,e
229,e,e,e,e,p,e,e
230,e,p,p,p,p,p,p
231,e,e,e,e,e,e,e
232,p,e,e,p,p,e,e
233,e,e,e,e,e,e,e
234,e,e,e,e,e,e,e
235,e,e,e,e,e,e,e
236,p,p,p,p,p,p,p
237,p,p,p,p,p,p,p
238,e,e,e,e,e,e,e
239,p,p,p,p,p,p,p
240,e,e,e,e,e,e,e
241,p,p,p,p,p,p,p
242,e,e,e,e,e,e,e
243,e,e,e,e,e,e,e
244,e,e,e,e,e,e,e
245,e,e,e,e,e,e,e
246,e,e,e,e,e,e,e
247,e,e,e,e,e,e,e
248,e,e,e,e,e,e,e
249,p,p,p,p,p,p,p
250,p,e,e,p,p,e,e
251,e,e,e,e,e,e,e
252,e,e,e,e,e,e,e
253,e,p,p,e,e,p,p
254,e,p,p,p,p,p,p
255,p,p,p,p,p,p,p
256,e,e,e,e,e,e,e
257,p,e,e,p,p,e,e
258,p,p,p,p,p,p,p
259,e,e,e,e,e,e,e
260,p,e,e,e,p,e,e
261,p,p,p,p,p,p,p
262,e,e,e,e,e,e,e
263,p,p,p,p,p,p,p
264,e,e,e,e,e,e,e
265,p,p,p,p,p,p,p
266,p,p,p,p,p,p,p
267,e,e,e,e,e,e,e
268,p,p,p,p,p,p,p
269,e,e,e,e,e,e,e
270,p,p,p,p,e,p,p
271,e,e,e,e,e,e,e
272,e,e,e,e,e,e,e
273,p,p,p,p,p,p,p
274,e,p,p,p,e,p,p
275,p,p,p,p,p,p,p
276,e,p,p,e,e,p,p
277,p,p,p,p,p,p,p
278,p,p,p,p,p,p,p
279,p,p,p,p,p,p,p
280,p,p,p,p,p,p,p
281,e,e,e,e,e,e,e
282,p,p,p,p,p,p,p
283,p,p,p,e,e,p,p
284,p,p,p,p,p,p,p
285,p,p,p,p,p,p,p
286,e,e,e,e,e,e,e
287,e,e,e,e,e,e,e
288,p,p,p,p,p,p,p
289,e,e,e,e,e,e,e
290,p,p,p,p,p,p,p
291,p,p,p,p,p,p,p
292,e,e,e,e,e,e,e
293,e,p,p,p,e,p,p
294,p,p,p,p,p,p,p
295,e,p,p,e,e,p,p
296,p,p,p,p,p,p,p
297,e,e,e,e,e,e,e
298,e,e,e,p,e,e,e
299,p,p,p,p,p,p,p
300,p,p,p,p,p,p,p
301,p,p,p,p,p,p,p
302,e,e,e,e,e,e,e
303,e,e,e,p,e,e,e
304,p,p,p,p,p,p,p
305,e,p,p,e,e,p,p
306,p,p,p,p,p,p,p
307,p,p,p,p,p,p,p
308,p,p,p,p,p,p,p
309,p,p,p,p,p,p,p
310,p,p,p,p,e,p,p
311,e,e,e,e,e,e,e
312,p,p,p,p,p,p,p
313,p,p,p,p,p,p,p
314,p,p,p,p,p,p,p
315,e,e,e,e,e,e,e
316,e,e,e,e,e,e,e
317,p,p,p,p,p,p,p
318,e,e,e,e,e,e,e
319,e,e,e,e,p,e,e
320,p,p,p,p,p,p,p
321,p,p,p,p,p,p,p
322,e,e,e,e,e,e,e
323,p,p,p,p,p,p,p
324,p,p,p,p,p,p,p
325,e,e,e,e,e,e,e
326,p,p,p,p,p,p,p
327,e,e,e,e,e,e,e
328,e,e,e,e,e,e,e
329,e,e,e,e,e,e,e
330,p,p,p,p,p,p,p
331,p,p,p,p,p,p,p
332,e,e,e,e,e,e,e
333,p,p,p,p,p,p,p
334,p,p,p,p,p,p,p
335,e,e,e,e,e,e,e
336,e,e,e,e,e,e,e
337,p,p,p,p,p,p,p
338,e,e,e,e,e,e,e
339,p,p,p,p,p,p,p
340,p,p,p,p,p,p,p
341,p,p,p,p,p,p,p
342,e,e,e,e,e,e,e
343,e,p,p,e,e,p,p
344,e,e,e,e,e,e,e
345,p,p,p,p,p,p,p
346,p,p,p,p,p,p,p
347,e,e,e,e,e,e,e
348,e,e,e,e,e,e,e
349,e,e,e,e,e,e,e
350,p,p,p,p,p,p,p
351,e,e,e,e,e,e,e
352,p,p,p,p,p,p,p
353,e,e,e,e,e,e,e
354,p,p,p,p,p,p,p
355,p,p,p,p,p,p,p
356,e,e,e,e,e,e,e
357,p,p,p,p,e,p,p
358,e,e,e,e,e,e,e
359,e,e,e,e,p,e,e
360,e,e,e,e,e,e,e
361,p,p,p,p,p,p,p
362,e,e,e,e,e,e,e
363,e,e,e,e,p,e,e
364,p,p,p,p,p,p,p
365,e,e,e,e,e,e,e
366,p,p,p,p,p,p,p
367,e,e,e,e,e,e,e
368,p,p,p,p,p,p,p
369,p,p,p,p,p,p,p
370,e,e,e,e,e,e,e
371,e,e,e,e,e,e,e
372,p,p,p,p,p,p,p
373,p,p,p,p,e,p,p
374,e,e,e,e,e,e,e
375,e,e,e,e,e,e,e
376,p,p,p,p,p,p,p
377,e,e,e,e,e,e,e
378,e,e,e,e,p,e,e
379,e,e,e,e,e,e,e
380,e,e,e,e,e,e,e
381,e,e,e,e,e,e,e
382,p,p,p,p,p,p,p
383,p,p,p,p,p,p,p
384,e,e,e,e,p,e,e
385,e,e,e,e,e,e,e
386,e,e,e,e,e,e,e
387,e,e,e,e,e,e,e
388,e,e,e,e,e,e,e
389,e,e,e,e,e,e,e
390,e,e,e,e,e,e,e
391,e,e,e,e,e,e,e
392,e,e,e,e,e,e,e
393,e,e,e,e,e,e,e
394,p,p,p,p,p,p,p
395,e,e,e,e,e,e,e
396,e,e,e,e,e,e,e
397,p,p,p,p,p,p,p
398,e,e,e,e,e,e,e
399,e,e,e,e,e,e,e
400,e,e,e,e,e,e,e
401,p,p,p,p,p,p,p
402,e,e,e,e,e,e,e
403,p,p,p,p,p,p,p
404,e,e,e,e,e,e,e
405,p,p,p,p,p,p,p
406,e,e,e,e,e,e,e
407,e,e,e,e,e,e,e
408,e,e,e,e,e,e,e
409,p,p,p,p,p,p,p
410,e,e,e,e,e,e,e
411,p,e,e,e,e,e,e
412,p,p,p,p,p,p,p
413,e,e,e,e,e,e,e
414,p,p,p,p,p,p,p
415,p,p,p,e,e,p,p
416,p,p,p,p,p,p,p
417,e,e,e,e,e,e,e
418,e,e,e,e,e,e,e
419,p,p,p,p,p,p,p
420,p,p,p,p,p,p,p
421,p,p,p,p,p,p,p
422,p,e,e,e,p,e,e
423,p,p,p,e,p,p,p
424,e,e,e,e,e,e,e
425,e,e,e,e,e,e,e
426,p,p,p,p,p,p,p
427,p,p,p,p,p,p,p
428,e,e,e,e,e,e,e
429,p,p,p,p,p,p,p
430,e,e,e,e,e,e,e
431,e,e,e,e,e,e,e
432,p,e,e,e,p,e,e
433,p,p,p,p,p,p,p
434,p,p,p,p,p,p,p
435,e,e,e,e,e,e,e
436,e,e,e,e,e,e,e
437,e,e,e,e,e,e,e
438,e,p,p,p,e,p,p
439,p,p,p,p,p,p,p
440,e,e,e,e,e,e,e
441,p,p,p,p,p,p,p
442,e,e,e,e,e,e,e
443,e,e,e,e,e,e,e
444,e,e,e,e,e,e,e
445,e,e,e,e,e,e,e
446,e,e,e,e,e,e,e
447,e,e,e,e,e,e,e
448,p,p,p,p,e,p,p
449,p,p,p,p,p,p,p
450,p,p,p,p,p,p,p
451,p,p,p,e,e,p,p
452,p,p,p,p,p,p,p
453,e,e,e,e,e,e,e
454,p,p,p,p,p,p,p
455,p,p,p,p,p,p,p
456,p,p,p,p,p,p,p
457,p,p,p,p,p,p,p
458,p,p,p,p,p,p,p
459,e,e,e,e,e,e,e
460,p,p,p,p,p,p,p
461,e,e,e,e,e,e,e
462,e,e,e,e,e,e,e
463,p,p,p,p,p,p,p
464,e,e,e,e,p,e,e
465,p,p,p,p,p,p,p
466,e,e,e,e,e,e,e
467,p,p,p,p,p,p,p
468,p,p,p,p,p,p,p
469,e,e,e,e,e,e,e
470,e,p,p,p,e,p,p
471,p,e,e,e,e,e,e
472,p,p,p,p,p,p,p
473,e,e,e,e,e,e,e
474,p,p,p,p,p,p,p
475,e,p,p,p,e,p,p
476,p,p,p,p,p,p,p
477,e,e,e,e,e,e,e
478,e,e,e,e,e,e,e
479,p,p,p,p,p,p,p
480,e,e,e,e,e,e,e
481,e,e,e,e,e,e,e
482,e,e,e,e,e,e,e
483,p,p,p,p,p,p,p
484,e,e,e,e,e,e,e
485,e,e,e,e,e,e,e
486,e,e,e,e,e,e,e
487,e,e,e,e,e,e,e
488,p,p,p,p,e,p,p
489,p,p,p,p,p,p,p
490,p,e,e,e,e,e,e
491,e,e,e,e,e,e,e
492,e,e,e,e,e,e,e
493,e,e,e,e,e,e,e
494,e,e,e,e,e,e,e
495,p,p,p,p,p,p,p
496,e,e,e,e,e,e,e
497,p,e,e,e,p,e,e
498,p,p,p,p,p,p,p
499,p,p,p,p,p,p,p
500,p,p,p,p,p,p,p
501,e,e,e,e,e,e,e
502,e,e,e,e,e,e,e
503,e,e,e,e,e,e,e
504,p,p,p,p,p,p,p
505,e,e,e,e,e,e,e
506,p,p,p,p,p,p,p
507,p,e,e,e,e,e,e
508,p,p,p,p,p,p,p
509,p,p,p,p,p,p,p
510,e,e,e,e,e,e,e
511,e,e,e,e,e,e,e
512,e,e,e,e,e,e,e
513,p,p,p,p,p,p,p
514,p,p,p,p,p,p,p
515,p,p,p,p,p,p,p
516,p,p,p,p,p,p,p
517,p,p,p,p,p,p,p
518,p,p,p,p,p,p,p
519,p,p,p,p,p,p,p
520,e,e,e,e,e,e,e
521,e,e,e,e,e,e,e
522,e,e,e,e,p,e,e
523,e,e,e,e,e,e,e
524,e,e,e,e,p,e,e
525,p,p,p,p,p,p,p
526,p,p,p,p,p,p,p
527,p,e,e,e,p,e,e
528,p,p,p,p,p,p,p
529,e,e,e,e,e,e,e
530,p,p,p,p,p,p,p
531,p,p,p,p,p,p,p
532,p,p,p,p,p,p,p
533,e,e,e,e,e,e,e
534,p,p,p,p,e,p,p
535,e,p,p,p,e,p,p
536,e,e,e,e,e,e,e
537,p,p,p,p,p,p,p
538,e,e,e,e,e,e,e
539,e,e,e,e,e,e,e
540,p,p,p,p,p,p,p
541,p,p,p,p,p,p,p
542,e,e,e,e,e,e,e
543,e,e,e,e,e,e,e
544,p,e,e,e,e,e,e
545,p,p,p,p,p,p,p
546,p,p,p,e,p,p,p
547,e,p,p,e,e,p,p
548,p,p,p,p,p,p,p
549,p,p,p,p,p,p,p
550,p,e,e,e,e,e,e
551,e,p,p,e,e,p,p
552,p,p,p,p,p,p,p
553,p,p,p,p,p,p,p
554,p,p,p,p,p,p,p
555,p,e,e,e,e,e,e
556,e,e,e,e,e,e,e
557,p,p,p,p,p,p,p
558,p,p,p,p,p,p,p
559,p,p,p,p,p,p,p
560,e,e,e,e,e,e,e
561,e,e,e,e,e,e,e
562,p,p,p,p,p,p,p
563,e,e,e,e,p,e,e
564,p,p,p,p,p,p,p
565,e,e,e,e,e,e,e
566,p,p,p,p,p,p,p
567,e,e,e,e,e,e,e
568,p,p,p,p,p,p,p
569,p,p,p,p,p,p,p
570,p,p,p,p,p,p,p
571,p,e,e,e,p,e,e
572,e,e,e,e,e,e,e
573,e,e,e,e,e,e,e
574,p,p,p,p,p,p,p
575,e,e,e,e,p,e,e
576,p,p,p,p,p,p,p
577,e,e,e,e,e,e,e
578,e,e,e,e,e,e,e
579,p,p,p,p,p,p,p
580,e,e,e,e,e,e,e
581,e,e,e,e,e,e,e
582,e,e,e,e,e,e,e
583,p,p,p,e,p,p,p
584,p,p,p,p,p,p,p
585,e,e,e,e,e,e,e
586,p,e,e,e,e,e,e
587,e,e,e,e,e,e,e
588,p,p,p,p,p,p,p
589,e,e,e,e,e,e,e
590,e,e,e,e,e,e,e
591,e,e,e,e,e,e,e
592,p,p,p,p,p,p,p
593,p,e,e,e,p,e,e
594,e,e,e,e,p,e,e
595,e,e,e,e,e,e,e
596,e,e,e,e,e,e,e
597,e,e,e,e,p,e,e
598,e,e,e,e,e,e,e
599,p,p,p,p,p,p,p
600,e,e,e,e,e,e,e
601,e,e,e,e,e,e,e
602,p,p,p,p,p,p,p
603,e,e,e,e,e,e,e
604,p,p,p,p,p,p,p
605,e,e,e,e,e,e,e
606,p,p,p,p,p,p,p
607,e,e,e,e,e,e,e
608,e,e,e,e,e,e,e
609,p,p,p,p,p,p,p
610,p,p,p,p,p,p,p
611,p,p,p,p,p,p,p
612,e,e,e,e,e,e,e
613,p,e,e,e,e,e,e
614,p,p,p,p,p,p,p
615,e,e,e,e,e,e,e
616,p,p,p,p,p,p,p
617,p,e,e,p,p,e,e
618,p,p,p,p,p,p,p
619,p,p,p,p,p,p,p
620,p,p,p,p,p,p,p
621,p,e,e,e,e,e,e
622,p,p,p,p,p,p,p
623,e,e,e,e,e,e,e
